generation,train_best,train_median,train_worst,val_best,gen_time_s,total_time_s,dm_active
304,57912.62,57912.62,-87494.89,1452.54,6.80,2717.02,1
305,57912.62,57912.62,-86320.23,1463.02,6.91,2724.12,1
306,57912.62,57912.62,-87789.83,1463.02,6.87,2731.20,1
307,57912.62,57912.62,-88590.28,1452.54,6.80,2738.20,1
308,57912.62,57912.62,-88576.75,1452.54,6.79,2745.19,1
309,57912.62,57912.62,-87249.55,1452.54,6.81,2752.21,1
310,57912.62,57912.62,-86187.95,1452.54,6.83,2759.25,1
311,57912.89,57912.62,-87471.92,1463.02,6.79,2766.24,1
312,57912.89,57912.62,-85294.77,1463.02,6.91,2773.35,1
313,57912.89,57912.62,-86872.31,1452.54,6.81,2780.36,1
314,57912.89,57912.62,-87964.00,1463.02,7.05,2787.61,1
315,57912.89,57912.62,-85749.57,1452.54,6.81,2794.62,1
316,57912.89,57912.62,-86635.02,1452.54,6.81,2801.63,1
317,57912.89,57912.62,-85456.41,1452.54,6.84,2808.67,1
318,57912.89,57912.62,-85304.35,1452.54,6.83,2815.71,1
319,57912.89,57912.62,-86783.77,1452.54,6.79,2822.70,1
320,57912.89,57912.62,-87666.08,1452.54,6.92,2829.83,1
321,57912.89,57912.62,-86372.07,1452.54,6.81,2836.83,1
322,57912.89,57912.62,-85157.48,1452.54,6.83,2843.86,1
323,57912.89,57912.89,-87493.02,1463.09,6.92,2850.98,1
324,57912.89,57912.89,-85378.02,1463.09,6.82,2858.00,1
325,57912.89,57912.89,-83990.47,1452.54,6.80,2865.00,1
326,57912.89,57912.89,-86764.09,1452.54,6.83,2872.03,1
327,57912.89,57912.89,-86058.78,1452.54,6.79,2879.03,1
328,57912.89,57912.89,-86625.20,1463.09,6.80,2886.03,1
329,57913.05,57912.89,-87069.56,1452.73,6.80,2893.03,1
330,57913.05,57912.89,-86687.05,1452.73,6.83,2900.06,1
331,57913.05,57912.89,-86572.15,1452.74,6.80,2907.05,1
332,57913.05,57912.89,-86810.08,1452.74,6.79,2914.05,1
333,57913.05,57912.89,-88304.11,1463.09,6.81,2921.06,1
334,57913.05,57912.89,-87310.93,1452.74,6.79,2928.05,1
335,57913.05,57912.89,-87856.59,1452.74,6.86,2935.11,1
336,57913.05,57912.89,-86625.22,1452.74,6.89,2942.20,1
337,57913.05,57912.89,-86910.05,1452.74,6.82,2949.22,1
338,57913.05,57912.89,-87088.09,1452.74,6.80,2956.22,1
339,57913.05,57912.89,-86005.66,1452.74,6.78,2963.21,1
340,57913.05,57913.05,-87069.55,1452.74,6.89,2970.30,1
